match_id,commence_time,home_team,away_team,winner_home_pct,winner_draw_pct,winner_away_pct,best_odds_value,best_odds_bookie,best_odds_scoreline,source_url_type,source_url,current_url,source_name,correct_score_count,modal_correct_score,modal_correct_score_pct
ecuador-curacao,2026-06-21T00:00:00Z,Ecuador,Curacao,49.1,26.05,24.85,8,bet365,1 : 0,url,https://oddspedia.com/football/ecuador-curacao-1654564,https://oddspedia.com/football/ecuador-curacao-1654564,nuxt_state_event,16,1-0,12.93
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,16,1-1,10.85
germany-ivory-coast,2026-06-20T20:00:00Z,Germany,Ivory Coast,55.85,22.0,22.15,,,,url,https://oddspedia.com/football/germany-ivory-coast-1654563,https://oddspedia.com/football/germany-ivory-coast-1654563,nuxt_state_event,16,1-1,10.25
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,20.2,24.3,55.55,6,bet365,0 : 1,url,https://oddspedia.com/football/tunisia-japan-957,https://oddspedia.com/football/tunisia-japan-957,nuxt_state_event,16,0-1,12.81
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,52.2,26.6,21.2,5.2,FanDuel,1 : 0,url,https://oddspedia.com/football/uruguay-cape-verde-1654577,https://oddspedia.com/football/uruguay-cape-verde-1654577,nuxt_state_event,16,1-0,15.0
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,26.85,27.35,45.8,6.5,bet365,0 : 1,url,https://oddspedia.com/football/new-zealand-egypt-1295549,https://oddspedia.com/football/new-zealand-egypt-1295549,nuxt_state_event,16,0-1,13.15
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,66.8,20.9,12.25,10,FanDuel,1 : 0,url,https://oddspedia.com/football/spain-saudi-arabia-1654576,https://oddspedia.com/football/spain-saudi-arabia-1654576,nuxt_state_event,16,1-0,14.26
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,51.9,23.85,24.3,8.5,FanDuel,1 : 1,url,https://oddspedia.com/football/belgium-iran-1654569,https://oddspedia.com/football/belgium-iran-1654569,nuxt_state_event,16,1-1,11.24
france-iraq,2026-06-22T21:00:00Z,France,Iraq,72.95,18.7,8.31,10.5,FanDuel,1 : 0,url,https://oddspedia.com/football/france-iraq-1869928,https://oddspedia.com/football/france-iraq-1869928,nuxt_state_event,16,1-0,15.89
argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,41.55,24.5,33.9,8,bet365,1 : 1,url,https://oddspedia.com/football/argentina-austria-1654585,https://oddspedia.com/football/argentina-austria-1654585,nuxt_state_event,16,1-1,11.2
jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,26.25,24.45,49.3,8,bet365,1 : 1,url,https://oddspedia.com/football/jordan-algeria-1654586,https://oddspedia.com/football/jordan-algeria-1654586,nuxt_state_event,16,1-1,11.26
england-ghana,2026-06-23T20:00:00Z,England,Ghana,69.8,19.5,10.74,,,,url,https://oddspedia.com/football/england-ghana-1654594,https://oddspedia.com/football/england-ghana-1654594,nuxt_state_event,16,1-0,14.22
portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,65.85,21.9,12.26,8,FanDuel,1 : 0,url,https://oddspedia.com/football/portugal-uzbekistan-1232,https://oddspedia.com/football/portugal-uzbekistan-1232,nuxt_state_event,16,1-0,15.96
panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,24.4,23.3,52.25,8,bet365,1 : 1,url,https://oddspedia.com/football/panama-croatia-1654595,https://oddspedia.com/football/panama-croatia-1654595,nuxt_state_event,16,1-1,10.79
norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,41.55,24.6,33.85,6.5,FanDuel,1 : 1,url,https://oddspedia.com/football/norway-senegal-1654581,https://oddspedia.com/football/norway-senegal-1654581,nuxt_state_event,16,1-1,11.25
1869938,2026-06-18 16:00:00+00,Czech Republic,South Africa,36.7,26.75,36.5,7,bet365,1 : 1,url,https://oddspedia.com/football/czech-republic-south-africa-1869938,https://oddspedia.com/football/czech-republic-south-africa-1869938,nuxt_state_event,16,1-1,12.68
colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,52.95,25.85,21.2,5.7,FanDuel,1 : 0,url,https://oddspedia.com/football/colombia-dr-congo-1869932,https://oddspedia.com/football/colombia-dr-congo-1869932,nuxt_state_event,16,1-0,14.01
1001,2026-06-18 19:00:00+00,Switzerland,Bosnia-Herzegovina,52.0,26.4,21.55,7,bet365,1 : 0,url,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001,https://oddspedia.com/football/switzerland-bosnia-herzegovina-1001,nuxt_state_event,16,1-0,14.45
1023867,2026-06-18 22:00:00+00,Canada,Qatar,52.2,27.8,19.95,7,bet365,1 : 0,url,https://oddspedia.com/football/canada-qatar-1023867,https://oddspedia.com/football/canada-qatar-1023867,nuxt_state_event,16,1-0,16.71
1534707,2026-06-19 19:00:00+00,USA,Australia,49.33,24.18,26.43,8.5,bet365,1 : 1,url,https://oddspedia.com/football/usa-australia-1534707,https://oddspedia.com/football/usa-australia-1534707,nuxt_state_event,16,1-1,11.6
465,2026-06-19 01:00:00+00,Mexico,South Korea,38.65,26.07,35.24,6.5,bet365,1 : 1,url,https://oddspedia.com/football/mexico-south-korea-465,https://oddspedia.com/football/mexico-south-korea-465,nuxt_state_event,16,1-1,12.63
1654557,2026-06-19 22:00:00+00,Scotland,Morocco,27.6,24.9,47.45,7.5,bet365,1 : 1,url,https://oddspedia.com/football/scotland-morocco-1654557,https://oddspedia.com/football/scotland-morocco-1654557,nuxt_state_event,16,1-1,11.8
