scenario,scenario_description,commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier
base,Current Monte Carlo assumptions.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
base,Current Monte Carlo assumptions.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
base,Current Monte Carlo assumptions.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
base,Current Monte Carlo assumptions.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
base,Current Monte Carlo assumptions.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
chasers_conservative,"Chasers lean more towards raw, top1 and chalk picks.",2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
chasers_aggressive,Chasers chase exacts and differentials more aggressively.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
favourite_heavy,Chasers overweight favourite/chalk scorelines.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756366,0.756366,0.0,high,medium
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.344489,1.344489,0.0,low,strong
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.145648,1.145648,0.0,low,strong
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.927647,0.927647,0.0,high,medium
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.325361,1.325361,0.0,low,strong
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.856397,0.856397,0.0,high,fragile
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.691299,0.691299,0.0,high,fragile
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832475,0.832475,0.0,high,fragile
exact_chase_heavy,Chasers overweight modal and top exact scorelines.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.635457,0.635457,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.749638,0.749638,0.0,high,medium
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.330514,1.330514,0.0,low,strong
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.147164,1.147164,0.0,low,strong
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.930829,0.930829,0.0,high,medium
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.316503,1.316503,0.0,low,strong
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.854966,0.854966,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.682888,0.682888,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.832216,0.832216,0.0,high,fragile
